Title;Link;Tag;Date;Description
Export Center Surabaya Catat Transaksi Perdagangan US$71 Juta Tahun Ini;https://surabaya.bisnis.com/read/20231221/531/1725981/export-center-surabaya-catat-transaksi-perdagangan-us71-juta-tahun-ini;Kabar Jatim;21 Desember 2023 11:03                                                    WIB;Ekspor bagi UMKM masih memiliki sejumlah hambatan salah satunya soal kesiapan produk pelaku usaha ke setiap negara tujuan.
Masa Transisi BRI (BBRI) Kelola Seluruh Dana Pembiayaan UMKM BUMN;https://finansial.bisnis.com/read/20231221/90/1725951/masa-transisi-bri-bbri-kelola-seluruh-dana-pembiayaan-umkm-bumn;Perbankan;21 Desember 2023 10:20                                                    WIB;BRI (BBRI) ditugaskan untuk mengelola dana pembiayaan UMKM yang ada di dalam anggaran program CSR seluruh BUMN.
Berdayakan UMKM Perempuan, WEpreneur 2 by BCA Syariah Kembali Digelar;https://finansial.bisnis.com/read/20231221/90/1725856/berdayakan-umkm-perempuan-wepreneur-2-by-bca-syariah-kembali-digelar;Perbankan;21 Desember 2023 09:00                                                    WIB;PT Bank BCA Syariah (BCA Syariah) kembali menggelar pelatihan dan pengembangan UMKM melalui program WEpreneur 2.
Alternatif KUR 2024, Indonesia Eximbank Tawarkan Kredit Bunga 6%;https://finansial.bisnis.com/read/20231221/90/1725900/alternatif-kur-2024-indonesia-eximbank-tawarkan-kredit-bunga-6;Perbankan;21 Desember 2023 07:56                                                    WIB;Lembaga Pembiayaan Ekspor Indonesia (LPEI) atau Indonesia Eximbank menawarkan pinjaman bagi UMKM dengan bunga seperti KUR maksimal 6%.
Saloka Pecahkan Rekor MURI dengan Pohon Natal Tertinggi dari Eceng Gondok;https://semarang.bisnis.com/read/20231220/535/1725709/saloka-pecahkan-rekor-muri-dengan-pohon-natal-tertinggi-dari-eceng-gondok;Kabar Jateng & DIY;20 Desember 2023 16:30                                                    WIB;Dekorasi spesial Natal itu diusung berdasarkan visi Saloka Theme Park untuk mengangkat budaya lokal dan UMKM Jawa Tengah.
Komitmen J&T Express Bagi Perekonomian Indonesia Melalui Pemberdayaan UMKM;https://ekonomi.bisnis.com/read/20231220/9/1725589/komitmen-jt-express-bagi-perekonomian-indonesia-melalui-pemberdayaan-umkm;Ekonomi;20 Desember 2023 16:06                                                    WIB;Industri logistik sebagai tulang punggung pemenuhan distribusi kebutuhan masyarakat diharapkan kian adaptif dalam kegiatan distribusi barang.
Pegadaian Berkomitmen Fasilitasi UMKM di Jabar Naik Kelas;https://bandung.bisnis.com/read/20231220/550/1725711/pegadaian-berkomitmen-fasilitasi-umkm-di-jabar-naik-kelas;Bisnis Jabar;20 Desember 2023 15:25                                                    WIB;PT Pegadaian mendorong UMKM Jawa Barat naik kelas, dengan memfasilitasi komunitas usaha mikro dan kecil serta melakukan pendamping.
Pelaku UMKM Klaim Jaring Untung Kolaborasi TikTok dan Tokopedia;https://ekonomi.bisnis.com/read/20231220/12/1725579/pelaku-umkm-klaim-jaring-untung-kolaborasi-tiktok-dan-tokopedia;Trade;20 Desember 2023 04:30                                                    WIB;Kemitraan strategis TikTok Shop dengan Tokopedia diiringi peringatan dari Kemenkop UKM agar tetap mematuhi aturan yang berlaku.
Taktik Erick Thohir Perbaiki BUMN Karya agar Vendor Tak Lagi Menderita;https://market.bisnis.com/read/20231219/192/1725411/taktik-erick-thohir-perbaiki-bumn-karya-agar-vendor-tak-lagi-menderita;Korporasi;19 Desember 2023 20:03                                                    WIB;Menurut Erick Thohir, BUMN sebagai benteng ekonomi nasional tidak seharusnya menyulitkan vendor dan usaha mikro kecil dan menengah (UMKM).
Meriahkan HUT Ke-46 Tahun, Pupuk Kaltim UMKM Fest Tumbuhkan Geliat Pelaku Usaha Lokal;https://kalimantan.bisnis.com/read/20231219/407/1725475/meriahkan-hut-ke-46-tahun-pupuk-kaltim-umkm-fest-tumbuhkan-geliat-pelaku-usaha-lokal;Nuansa Borneo;19 Desember 2023 18:21                                                    WIB;Para pelaku usaha tidak hanya berasal dari Kota Bontang, tapi juga berbagai daerah lain di Kalimantan Timur dan Kalimantan Selatan.
