,Beras Medium,kg,13.600,13.600,0,
,Beras Premium,kg,15.100,15.100,0,
,Gula Pasir,kg,15.600,15.600,0,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.400,137.400,0,
,Daging Ayam Ras,kg,36.600,36.500,-0.27,
,Telur Ayam Ras,kg,29.500,29.400,-0.34,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,43.900,43.900,0,
,Cabe Rawit Merah,kg,56.100,56.900,1.43,
,Cabe Merah Besar,kg,41.500,41.400,-0.24,
,Bawang Merah,kg,25.100,25.000,-0.4,
,Bawang Putih Honan,kg,37.100,37.100,0,
