Beras Medium;kg;13.800;13.800;0;
Beras Premium;kg;15.200;15.200;0;
Gula Pasir;kg;17.300;17.300;0;
Minyak Goreng Kemasan Premium;Lt;20.700;20.600;-0.48;
Minyak Goreng Curah;Lt;14.500;14.600;0.69;
Minyak Goreng, MINYAKITA;Lt;15.100;15.100;0;
Daging Sapi Paha Belakang;kg;136.500;136.400;-0.07;
Daging Ayam Ras;kg;37.100;37.200;0.27;
Telur Ayam Ras;kg;28.900;28.900;0;
Tepung Terigu;kg;13.200;13.200;0;
Kedelai Impor;kg;15.400;15.300;-0.65;
Cabe Merah Keriting;kg;52.600;53.200;1.14;
Cabe Rawit Merah;kg;64.600;63.300;-2.01;
Cabe Merah Besar;kg;56.500;57.200;1.24;
Bawang Merah;kg;39.800;40.000;0.5;
Bawang Putih Honan;kg;39.600;39.700;0.25;
