Beras Medium;Rp 14.900;Rp 14.900;0.00 %
Beras Premium;Rp 16.400;Rp 16.500;0.61 %
Gula Pasir Kemasan;Rp 18.600;Rp 18.600;0.00 %
Minyak Goreng Sawit Kemasan Premium;Rp 20.600;Rp 20.600;0.00 %
Minyak Goreng Sawit Curah;Rp 15.200;Rp 15.200;0.00 %
Minyakita;Rp 15.400;Rp 15.400;0.00 %
Daging Sapi Paha Belakang;Rp 136.800;Rp 136.700;-0.07 %
Daging Ayam Ras;Rp 37.800;Rp 37.700;-0.26 %
Telur Ayam Ras;Rp 30.400;Rp 30.500;0.33 %
Tepung Terigu;Rp 13.100;Rp 13.100;0.00 %
Kedelai Impor;Rp 15.600;Rp 15.600;0.00 %
Cabai Merah Keriting;Rp 63.300;Rp 63.800;0.79 %
Cabai Rawit Merah;Rp 64.500;Rp 65.600;1.71 %
Cabai Merah Besar;Rp 66.200;Rp 67.200;1.51 %
Bawang Merah;Rp 36.400;Rp 36.700;0.82 %
Bawang Putih Honan;Rp 39.700;Rp 40.000;0.76 %
